Number of contacts: 247
AbdullahYavuz 3843021219
AdnanegeSasmaz 4731075240
AgabeyBarlas 4440748371
AgabeyKaygusuz 0272905779
AhmedCakir 0223837134
AhmedKaygusuz 5142103722
AhmetDeveci 2283692977
AhmetSaygili 6614773299
AliArslan 1029930211
AliAydin 2212803578
AliBalci 3010725411
AlihanKaygusuz 8977229770
AlihanOzkan 9903127715
AlihanSardag 2567307997
AlpadnanAslan 2217466615
AlpadnanBoran 2748769742
AlpadnanEkmekci 0836784762
AlpadnanHokelek 6646363714
AlpadnanKocas 9238290423
AlpadnanOzyazici 3665765533
AlperDurak 2357074948
AlperKutludag 8229161102
ArunekinArslan 5154145453
ArunekinKolukisa 6078370261
ArunekinOzdemir 1830217900
AtahanCosgun 4095558220
AtahanOzyazici 9130493950
AycaAydin 0915052907
AycaYazici 6116433568
AydinberkKipge 3626495150
AydinberkKosar 5906910797
AydinberkOzdemir 5519094084
BahadirhanCubuk 3609825022
BahadirhanKocas 0510437204
BahadirhanOzyazici 9392857270
BaranberkayKorkmaz 8405505003
BaranberkayOruc 5703451614
BarisUslu 3145063386
BarisZorlu 6148017226
BarlasSalel 6932880008
BartuSasmaz 2495144815
BartuUslu 8988506986
BartuYardimci 2052567270
BerkBastug 1706164311
BerkBoluk 3638486753
BerkayCakir 5077916993
BerkayKarasozen 8183974368
BerkayOzil 2457598494
BerkayYilmaz 0846503404
BerrakKarakas 6959138012
BerrakSipahioglu 0062782107
BerrakYavuz 4588978912
BulutDemir 0464847804
BulutOkumus 4224064754
BulutYucetin 3939814603
BurakDemirci 7166139112
BurakDurak 2610087214
BurakOzdemir 1228920686
BurakcemOzkan 3223657314
CanerBarlas 7711704629
CanerBekci 0115649411
CansuBudak 9253821779
CansuOzsuer 7843257069
CemCakir 6585033649
CemDemirci 5634520016
CemGokcek 6686729800
CemegeKaygusuz 8815735938
CemegeKaytaz 2222433602
CerenOzdemir 3078961712
CerenOzkan 2041775821
CerenYilmaz 4416749905
CuneytemreCona 5824056141
CuneytemreGuncer 9746392991
DamlatuanaAltintop 2796424920
DamlatuanaAvci 3600353130
DamlatuanaAyanoglu 3876966027
DenizBalim 6733912984
DenizYilmaz 1202559635
DenizZorlu 1620874985
DogacanBaskaya 0171775275
DogacanCubuk 9456489917
DogacanOruc 1290101896
DorukBalim 1178730924
DursunBastug 9857163076
DursunCosgun 9017444138
DursunTaneli 9676755065
DuygusezenAkgul 3751454156
DuygusezenBarlas 0444277057
EceGuler 3029068660
EceOzkan 0734134626
EgeAkgul 3007950035
EgeAlioglu 8871198336
EgeDurak 0686370120
EgeGulce 3789381260
EgeTiryakioglu 1353996915
EgeYavuz 1653383533
EgeYazici 1437449966
EgemelisCona 7589319391
EgemelisKutludag 7840124311
EgemelisYavuz 7713791081
EgeonatCona 8441714874
ElburzAyanoglu 7352817600
EmirKayandan 7917721181
EmirSasmaz 5887657822
EmirYakal 9961007818
EmreOguz 5537911188
EmreYilmaz 0393376845
EnesBalci 5390949670
EnesOzakar 7043462115
EnesUslu 3504586003
EnesfarukBaskaya 4416307646
EnesfarukCubuk 9133512448
EnesfarukGunay 9964444779
EnesfarukMenguaslan 9702627206
EngindenizIslakoglu 1658116198
EngindenizKutludag 5018986150
EngindenizOzil 5865301621
EngindenizSalel 3233177658
ErgizKucukpehlivan 7962608353
EsinKarakas 6249120406
EsinLuleci 6869866916
EsinOzsuer 5666857717
FuatcemAydin 6631520955
FuatcemBarlas 5319998777
FuatcemErsu 1252173668
FuatcemGuncer 1705550404
FuatcemKorkmaz 6548120220
FurkanArslanturk 5361500483
GokalpBoluk 1879849806
GokalpOnes 3597168634
GokalpYardimci 8400223256
GultekinBulgu 8408306624
GultekinGizer 6478622349
HakkitahaAslan 7119893673
HakkitahaPerk 0025413696
HaldunGuler 6529606559
HaldunSardag 2845866968
HarunOz 0893581275
HarunOzsuer 4142217706
HarunTaneli 7383152249
HaticeiremGunay 3583867910
HaticeiremKucukpehlivan 8534524711
HaticeiremOkatan 7896901130
HazalAlioglu 4649388678
HazalBulgu 2971160399
HazalGursoy 0916736126
HazalOruc 6318974619
HazalSasmaz 0006884529
IbrahimethemGokcek 3231772079
IbrahimethemOz 8897827538
IhsanOguz 4291535800
IhsanOzakar 4802747416
IsmeterdemAyanoglu 6337223783
IsmeterdemBalim 6946234190
IsmeterdemBasar 0272974871
IsmeterdemGursoy 3915376468
KaanHokelek 2805974595
KaanOguz 3445344806
KaanTekalp 6972257222
KaanToker 0091385825
KaanUysal 8368948926
KaanYavuz 2928561287
KadirGuler 2998396843
KadirSaygili 4511451727
KadriAkbas 9023968761
KadriArslan 0331130680
KadriDincer 4546706893
KadriOzdemir 2773241193
KadriOzyazici 6524197800
KazimGizer 0125624612
KazimUysal 8935509330
KemalbatuhanDemir 5948626246
KemalbatuhanOzdemir 1375407595
KemalbatuhanYavuz 6334371282
MahmutkarahanOz 1664455831
MedihameltemArslanturk 6212912863
MedihameltemYilmaz 5093932628
MehmetrifatCiftci 4932674744
MehmetrifatDoganay 5572958095
MehmetrifatKutludag 2421363975
MehmetrifatSahbaz 1503532736
MehmettahaAkgul 4347963007
MelihAltintop 2876244061
MelihAtisay 6480137542
MelikeBekci 6387080081
MelikeCakir 3186714033
MelikeGulce 2581331684
MelikeKutludag 4904017381
MerveAkgul 3274900587
MerveIslakoglu 5505094304
MuhammedtalhaAkbas 1055837388
MuhammedtalhaAlioglu 1447708965
MuhammedtalhaKorkmaz 7146692308
MuhammedtalhaOz 6588545370
MustafaumutAltintop 8966227217
MustafaumutDurak 1895984432
MustafaumutGizer 2792446662
MustafaumutTatlidede 2073069744
NecatibarisAlioglu 5850061528
NecatibarisCakir 2975667025
NecatibarisLuleci 5756581028
OkanOkatan 9365006611
OkanTekalp 9583151841
OnurKucukpehlivan 8331354524
OrcunAydin 0258110622
OrcunKutludag 0157687488
OrcunYazici 4104464268
OsmanBalim 7852868979
OsmanSipahioglu 7356140947
OsmanYakal 2750573448
OzdenBasar 3261421709
OzdenBoran 1221981564
OzgurDoganay 0627889835
OzgurGokcek 0903041522
OzgurKayandan 6177857538
OzgurOkatan 5123438385
PelinHopali 3458756051
PelinPerk 9200832176
RabiasimalAltintop 8009554629
RabiasimalAyanoglu 0874494070
RabiasimalMenguaslan 1468838925
SitareAkbas 1434101678
SitareAkogul 9214169781
SitareKaytaz 5774436850
TanilAslan 2076863689
TanilBulgu 8617856085
TanilDurak 7643622339
TanilFiliz 8897474779
TanilMasry 3546471481
TanilOzdemir 0177230784
TanilOzkan 9854398448
TayisGokcek 8790468522
TayisToygar 5466699259
TumayErsu 9830021699
TumayHopali 5394331991
UmaybengisuAkgul 3106268983
UmaybengisuBozkurt 3858217537
UmaybengisuIslakoglu 6902097539
UmaybengisuKarakas 4102968254
UmaybengisuOzakar 2686278032
UmutBoluk 9599034083
UmutDeveci 5981029797
UtkuKorkmaz 2935058835
YunusGuler 6263097330
YunusUslu 5304221463
YunusYardimci 2770827849
YusaomerBoran 8852849000

Applying the operations from the query list
3458756051: PelinHopali

7589319391: EgemelisCona

Name: BurakYucetin
Number: 9212764053
E-mail: byucetin59@ku.edu.tr

DorukBalim: 1178730924

Name: NecatibarisCakir
Number: 2975667025

MelihAtisay: 6480137542

Name: BurakYucetin
Number: 9212764053
E-mail: byucetin59@ku.edu.tr

Name: TanilFiliz
Number: 8897474779

7119893673: HakkitahaAslan

Name: MustafaumutTatlidede
Number: 2073069744
E-mail: mtatlidede79@ku.edu.tr

Name: AydinberkLuleci
Number: 2503255121
Address: 062 White Summit Suite 619 West Crystalville, AZ 28781-5773 
E-mail: aluleci22@ku.edu.tr

6337223783: IsmeterdemAyanoglu

Name: PelinHopali
Number: 3458756051
Address: 352 Garcia Fall Suite 343 South Anthonyside, CT 11007 
E-mail: phopali89@ku.edu.tr

Name: OzgurKayandan
Number: 6177857538

MelikeBekci: 6387080081

Name: MuhammedtalhaKorkmaz
Number: 7146692308

